Date,Suburb,Address,Invoice Number,Item Description,Item Description2,Item Price
7/02/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Woolworths Spring Water 1.5L Bottle,,0.7
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Capsicum Green,0.432 kg NET @ $3.50/kg,1.51
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Butternut Cut,0.761 kg NET @ $3.50/kg,2.66
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,WW Chicken Breast Fillets Bulk RSPCA,,13.09
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Cauliflower Whole,,2.5
8/02/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Woolworths Spring Water 1.5L Bottle,,0.7
8/03/2021,3327 Blackburn South,117-125 Canterbury Road ,6.29333E+19,^#V Energy Blue Sugar Free 4X275ml,,6.35
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Kiwifruit Gold Imported,0.947 kg NET @ $7.90/kg,7.48
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Pumpkin Kent Cut,0.801 kg NET @ $2.00/kg,1.6
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Haagen Dazs Strawberries 457ml,,5.75
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Haagen Dazs Salted Caramel 457ml,,5.75
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Uncle Tobys Le Snak Chese Chddr 6pk 132g,,2.35
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Sea Friend Roasted Seaweed 8pk 5g,,3
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Twinings Assam Bold 80pk,,5.6
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Avocado Hass,,1.2
11/03/2021,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lettuce Iceberg,,1.5
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,WW Chicken Breast Fillets Bulk RSPCA,,12.58
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Cauliflower Whole,,2.5
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Lamb Leg Steak 540g,,13
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,#Chin Chin Grass Jelly DrkLychee 315g,,1.25
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^D/F Thick & Creamy Clssc Vanilla 150g,,1
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^DF Thick & Creamy Mango Passio Frt 150g,,1
7/04/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^D/F Thick & Creamy Strawberry 150g,,1
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^La Molisana Vegan Bolognese 340g,,2
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Bulla Thick Cream 600ml,,4.4
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,WW Sour Cream 300ml,,2.1
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Devondale Milk Full Cream L/l 1l,,1.45
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Old El Paso Kit Soft Taco 405g,,3.5
9/04/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Brunnings Potting Mix 25L,,3.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,#Ww Lamb Rogan Josh With Rice 350g,,6.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,#WW Singapore Noodles 350g,,5.5
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,WW Sweet Corn Fritters 200g,,4.62
7/05/2021,3327 Blackburn South,117-125 Canterbury Road,6.29333E+19,D Orsogna Roast Chicken 320G,,5.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Butternut Cut,0.881 kg NET @ $3.50/kg,3.08
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,^Nongshim Shin Ramen 5Pk 600g,,4
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,^Uncle Tobys Big BowlOats Honey 8pk 368g,,2.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,#Deep Cove Sardines In Tomato Sauce 125g,,0.85
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,D Orsogna Roast Chicken 320G,,5.5
7/07/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Beef Oyster Blade Steak 600g,,13.5
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Helgas Lower Carb Soy Tstd Sesame 700g,,4.2
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Pine O Clean Wshng Mchne Lem Lime 250ml,,4.8
9/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
12/11/2021,3304 QV,Cnr Lonsdale and Swanston Streets ,6.2933E+19,#C/H Potted Price Point 15.00,,15
7/12/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Sweet Corn 500g P/P,,3
7/12/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Carrot 1kg P/P,,2
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Onion Brown Loose,0.287 kg NET @ $3.00/kg,0.86
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Cauliflower Whole,,3.5
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Devondale Milk Full Cream L/l 1l,,1.6
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Gippsland Dairy Boysenberry 720G,,5.5
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Libra Pads U/Thin Regular Wings 14pk,,2.1
12/12/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Libra Pads Invis Reg Wings 14pk,,2.65
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Pumpkin Kent Cut,0.751 kg NET @ $4.90/kg,3.68
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Pumpkin Kent Cut,0.821 kg NET @ $4.90/kg,4.02
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Tomato Truss,0.597 kg NET @ $4.90/kg,2.93
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Sweet Corn 500g P/P,,2.9
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Carrot 1kg P/P,,2
1/04/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Helgas Bread Pumpkin/5 Seed 720g,,3.9
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Pumpkin Kent Cut,0.646 kg NET @ $3.90/kg,2.52
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Mandarin Afourer,0.607 kg NET @ $2.90/kg,1.76
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Mandarin Delite Seedless MD,0.467 kg NET @ $3.90/kg,1.82
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Onion Brown Loose,0.312 kg NET @ $3.00/kg,0.94
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Zucchini Green Kg,0.412 kg NET @ $4.90/kg,2.02
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lean Beef Mince 1kg,,16
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Mushroom Cups 500g P/P,,5.5
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Tomato Gourmet 1kg P/P,,9.9
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Nestle Milo Bars Chewy 185g 6 Pk,,2.5
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Buk Choy,Qty 2 @ $2.50 each,5
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Dishmatic Xtra Heavy Dty Refil3pk,,3.15
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Dishmatic Micro Soft Refills 3pk,,3.15
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Libra Cotton Pad Reg 12pk,,4
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Orion Turtle Chips Flaming Mala 160g,,3.6
9/05/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Berry Strawberry 250g P/P,Qty 2 @ $2.40 each,4.8
2/08/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,Potato Sweet Gold,0.792 kg NET @ $2.50/kg,1.98
2/08/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,WW RSPCA Chicken Mince 500g,,3.65
2/08/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,^#Carmans Bars Almnd Cas & Cranb 5pk 175g,,3
6/08/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Thwd XL Ckd Aus Tiger Prawn,,4.9
6/08/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Birds Eye Moroccan Fish Fillets 500g,,5
6/08/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Birds Eye Teriyaki Fish Fillet 500g,,5
6/08/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lean Beef Mince 500g,,9.5
9/09/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Red Bull Energy Drnk taurin4x250ml,,7
9/09/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Colgate MW Plax Fresh Tea 500ml,,3.5
9/09/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Hans Lunch Plate Salami & Beetroot 110g,,5.5
9/09/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Broccolini Bunch,Qty 2 @ $2.90 each,5.8
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,^Nongshim Shin Ramyun 5Pk 600g,,4.5
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,Poulings Sliced Beef290g,,7.5
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,I Mei Oriental GreenOnionPancake10pk525g,,4.3
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,^#Bento Squid Snack Sweet & Spicy 120g,,6
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,Sun Circle Pork & Chive Dumpling 600g,Qty 2 @ $6.00 each,12
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,^Spice Tailor Thai Massaman Curry 275g,,3
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,^D/F Thick & Creamy Strawberry 600g,,3.5
1/10/2022,3141 Bayswater,659 Mountain Highway,6.29314E+19,Tak Hing Vegetarian Bao 4pk 275g,Qty 2 @ $6.00 each,12
2/10/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,^#Huggies Ult Protect and Care Wipes 64s,,3
2/10/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,^#HaagenDazsDUOBelgin ChocVanilla 420ml,,5.75
2/10/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,^#Haagen Dazs Salted Caramel 457ml,Qty 2 @ $5.75 each,11.5
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Pie Society Thai VegRed Curry Pie2pk340g,,4
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Dairy Farmers T&C Apple & Boysenb 150g,,1.1
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^D/F Thick & Creamy Clssc Vanilla 150g,,1.1
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^D/F Thick & Creamy CaramlFig 150g,,1.1
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^JW SalmonTempters Onion &Tomato 95g,,1.35
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW UHT Milk Full Cream 1L,,1.35
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^JW SalmonTempters Smoke Flavour 95g,,1.35
5/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW RSPCA Chicken Mince 500g,,6
8/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Potato White Washed Lse,0.472 kg NET @ $4.50/kg,2.12
8/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Berry Strawberry 250g P/P,,3.9
8/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Carrot 1kg P/P,,2.4
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Nescafe Coffee Blend 43 500g,,16.8
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Uncle Tobys Le Snak Chese Tasty 6pk 132g,Qty 2 @ $2.50 each,5
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Gippsland Dairy Blueberry 160g,,1.5
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Jinmailang Egg Noodle 1kg,,2.5
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Wiltshire Easybake Slice/Brownie Pan,,5
3/11/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lamb Forequarter Chops Medium,,11.15
2/12/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,#Elastoplast Kids Sensitive 20 pack,,3.5
2/12/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place ,6.29337E+19,^#Red Bull 4x250ml Ruby Edition,,7
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Tomato Gourmet,0.262 kg NET @ $7.90/kg,2.07
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Chiko Roll 650g 4pk,,3.6
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Jamie Oliver Fish Finger 10pk300g,,2.6
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Birds Eye Fish O/b Battered 425g,,5
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Jamie Oliver Fishcke Parsley/Cream 200g,,2.5
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Kurajong Ktchn Lvsh Snack Twin Pack 100g,,2.5
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Charlies Mini CheeseBites Italian 100g,,1.6
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Riverina Haloumi Cheese 180g,,5
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Maggie Beer CrmlisedOnion Cheddar 150g,,7.2
9/12/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lamb Forequarter Chops Medium,,11.34
13/11/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,#Dishmatic Dish BrushPro Handle,,5
13/11/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^#Biozet Attack Plus Eliminator 2kg,,13
13/11/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^#Hygiene Plus Duo Gloves Medium 2pk,,3
13/11/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^#Mirabella LED GLS ES9W 806LM CW 2Pk,,6.87
13/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Butternut Cut,0.616 kg NET @ $3.50/kg,2.16
13/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,D Orsogna Roast Chicken 320G,,5.5
13/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Airborne Pure Honey UD 500g,,8
14/10/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lettuce Iceberg,,2.5
14/11/2021,3317 Doncaster Shopping Town,619 Doncaster Rd Cnr Williamsons Rd,6.29332E+19,Woolworths Spring Water 1.5L Bottle,,0.7
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,Mini Pane Di Casa Plain Loaf,,2.85
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^I Mei Mung Bean Ice Bar 437.5g,Qty 2 @ $4.20 each,8.4
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^Go Natural Macadmia Dream Balls WC 100g,,3.5
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^Samanco Strawberry Dessert S/wich 600ml,Qty 2 @ $4.00 each,8
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^Amoy Glutinous Rice Dumpling 3pk 180g,Qty 2 @ $2.10 each,4.2
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^Colgate MW Plax Fresh Tea 500ml,,3.5
14/4/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^COLGATE ADV WHTNG CHAR TPASTE 180G,,4
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^#Sard Laundry SanitiserLiquid 1.5l,,6
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Pureharvest Milk Oat Organic 1l,,2.8
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Luv A Duck Confit Duck Legs 500g,Qty 2 @ $7.25 each,14.5
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Huggies Frag/Free Baby Wipes 80pk,,2.25
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Kewpie Mayonnaise 300g,,3.5
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Armada Resealable Sandwich Bag 30pk,,2
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Armada Freezer Bags Small 120pk,,0.6
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Sweet Corn 500g P/P,Qty 2 @ $6.00 each,12
14/6/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Apple The Odd Bunch 1kg PP,,2.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Tomato Truss,0.757 kg NET @ $6.90/kg,5.22
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Apple Pink Lady,0.627 kg NET @ $4.90/kg,3.07
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Cauliflower Whole,,4.9
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lean Beef Mince 500g,,9.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Western Star Spread Salt Reduced 500g,,6.3
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Ichiban Bowl Noodls Roast Beef 150g,,2.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Safcol Galician Mussels 105g,,2.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW Cumin Ground 30g,,1.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Yeos Oil Sesame 150ml,,4.5
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^PAL FOAM REFILL SWEET VANILLA LHW 1L,,6
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Ottogi Kalbi Sauce 240g,,2.45
