Date,Suburb,Address,Invoice Number,Item Description,Item Description2,Item Price
15/7/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Tyrrells Crisps Lightly Salted 165g,,2.5
15/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Bread White Extra Soft Loaf 800g,,3.5
15/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW Eggs Free Range 12pk 700g,,4.9
15/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Roast Lamb Leg Small,,11.66
15/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW Wagyu Beef&Crackd Blk Ppr Sausage500g,,9
15/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Berry Strawberry 250g P/P,,2
16/8/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Ajumma Korean JapcheSauce 100g,,1
16/8/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Thwd XL Ckd Aus Tiger Prawn,,6.84
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Kiwifruit Gold Imported,0.477 kg NET @ $7.90/kg,3.77
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Kewpie Mayonnaise 500g,,7
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Devondale Cheese Grated 3 Cheese600g,,7.5
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Western Star Spread Supersoft 375g,,4
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Heart Smart Extra Lean Beef Mince 500g,,10
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,WW BBQ Angus Bf Salt Pepper Burger 450g,,7.5
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,WW BBQ ChickenBurgerZucchiniParmesan450g,,6.5
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Golden Circle Corn Kernels 410g,,1.2
17/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Broccolini Bunch,Qty 2 @ $2.00 each,4
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW UHT Milk Full Cream 1L,,1.35
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Four N Twenty Pies Chicken/Veg 4pk 700g,,6
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,WW COOK Classc ChcknR/P Vegetables 2kg,,10.56
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Steggles Butter ChknBoneless Fmly Roast,,9.9
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Mr Chens Shanghai Soup Dumplings 240g,,3.75
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Zucchini The Odd Bunch P/P,,4.9
18/5/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Broccolini Bunch,,3
18/9/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Thawed Freshwater Basa Fillets,,1.36
18/9/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Thawd Whl Commercial Scallop kg,,2.05
19/11/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,#Coca Cola No Sugar Vanilla 600ml,,3.6
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,#Woolworths Reusable Bag,,0.15
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,#Armor All Wash N Wax 1l,,8
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Masterfoods Sauce Tom S/R Sgr 475ml,,1.47
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,#Armada Freezer Bags Small 120pk,,0.6
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Bulls Eye Sweet Whiskey Glaze 300ml,,2
19/11/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,#Essentials Pastry Brush,,2
19/4/2022,2610 Surfers Paradise Circle on Cavill,Cnr Sufers Prdse Blvd and Cavill Ave,6.29261E+19,Avocado Shepard,,1.2
19/4/2022,2610 Surfers Paradise Circle on Cavill,Cnr Sufers Prdse Blvd and Cavill Ave,6.29261E+19,^JW Tuna Tempters Sweetcorn & Mayo 95g,,1.15
19/4/2022,2610 Surfers Paradise Circle on Cavill,Cnr Sufers Prdse Blvd and Cavill Ave,6.29261E+19,Brioche Burger Bun Sesame Seed 4Pk 250g,,5.5
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Apple Gift Card 50 AU Dollars,,50
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^#Quilton T/tiss Classwhite 3ply 8pk,,3.75
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Tak Hing Chicken Bao4pk 275g,,4.5
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^#Tak Hing Egg CustardBao 6pk 355g,,4.5
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Birds Eye C/Harvest Carrot/Caul/Broc 1kg,,4
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^D/F Thick & Creamy LTD Edition 150g,,1
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^D/F Thick & Creamy Strawberry 150g,,1
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Sanitarium So Good Soy 1l,,1.9
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,#Armada Freezer Bags Small 120pk,,0.6
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^#Philips LED 470LM Cool ES 2pk,,6.5
19/8/2021,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^#Oral B Gc Sensitive Repair Tpaste 110G,,5
20/11/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Woolworths Spring Water 1.5L Bottle,,0.7
20/11/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,^#V Drink Energy Guarana 4x250ml,,4.67
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,WW Chicken Breast Fillets Small RSPCA,,6.37
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,WW Chicken Breast Fillets Small RSPCA,,7.15
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Pumpkin Butternut Cut,0.446 kg NET @ $3.50/kg,1.56
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Pumpkin Butternut Cut,0.571 kg NET @ $3.50/kg,2
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Heart Smart Extra Lean Beef Mince 500g,,8.4
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^#Red Bull Winter Glacier Ice 250ml,Qty 2 @ $1.40 each,2.8
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,#Aspro Tablts Clear Analgesic 24pk,,5
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Cauliflower Whole,,2.5
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,D Orsogna Roast Chicken 320G,,5.5
20/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^Sea Friend Spicy Kimchi Seaweed 8pk5g,,3
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Cherry,0.682 kg NET @ $12.90/kg,8.8
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Orion Turtle Chips Flaming Mala 160g,,3
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Colgate MW Plax Fresh Tea 500ml,,3.15
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Vege Deli Crisps Lentil L/Salted 100g,Qty 2 @ $3.25 each,6.5
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^#Uncle Tobys Le Snak Chese Tasty 6pk 132g,,2.35
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Tcc Coconut Milk 400ml,,1.2
21/1/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Lean Beef Mince 500g,,9.5
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,Onion Brown Loose,0.387 kg NET @ $3.90/kg,1.51
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,Tomato Truss,0.747 kg NET @ $3.90/kg,2.91
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,Bega Nas Peanut Butter Crunchy 325g,,4.4
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,Carrot 1kg P/P,,1.5
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,Avocado Hass,Qty 2 @ $2.20 each,4.4
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,^#Bonds Mens Cushioned1/4CrwSock 11-14 3pk,,7.5
21/11/2022,3806 Clayton,Cnr Blackburn Rd and Princess Hwy ,6.29381E+19,^Cheer Mozzarella Slices 250g,,6.2
21/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Pumpkin Kent Cut,1.001 kg NET @ $1.50/kg,1.5
21/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Sanitarium So Good Soy 1l,,1.9
21/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,WW RSPCA Chicken Thigh Fillets Small,,9.99
21/7/2021,3173 Vermont,Cnr Stevens and Canterbury Roads,6.29317E+19,Tomato Gourmet 1kg P/P,,4.9
21/9/2021,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Sunrice Hinata Short Grain Rice 5kg,,9
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Ginger,0.307 kg NET @ $50.00/kg,15.35
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Capsicum Green,0.537 kg NET @ $9.90/kg,5.32
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Carrot 1kg P/P,,2.4
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Vileda 3 in 1 HD Sponge Scourer 3pk,,2.5
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Armada Baking Paper 30cm x 15m,,3
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Libra Pads U/Thin G/nights Wings 10pk,Qty 2 @ $2.25 each,4.5
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Harvest Snaps Wasabi 93g,,3.5
22/6/2022,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Armada Freezer Bags Medium 80pk,,0.6
23/11/2022,3130 Waverley Gardens (Mulgrave),Cnr Police and Jacksons Roads,6.29313E+19,^#Nivea Lip Care Hydrocare 4.8g,,3.15
23/7/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,Panadol Rapid Caplets 20pk,,5.75
24/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Kiwifruit Gold Imported,0.562 kg NET @ $7.90/kg,4.44
24/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,Sweet Corn Each,,1.5
24/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^Twinings Tea Bags English Brkfst 10s,Qty 2 @ $1.00 each,2
25/10/2022,3141 Bayswater,659 Mountain Highway ,6.29314E+19,WW Milk Powder Full Cream 1kg,,8
25/10/2022,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^#Mcvities Digestives Bisc Dark Choc 300g,,2.2
25/11/2022,3130 Waverley Gardens (Mulgrave),Cnr Police and Jacksons Roads,6.29397E+19,^Cocobella Coconut Water 1L,Qty 2 @ $2.50 each,5
25/11/2022,3130 Waverley Gardens (Mulgrave),Cnr Police and Jacksons Roads,6.29397E+19,^#Arnotts Tim Tam White 165g,,3.5
25/2/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,^Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
25/2/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,Devondale Milk Full Cream L/l 1l,,1.6
25/2/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,Armada Baking Paper 30cm x 15m,,3
25/2/2022,3216 Croydon,224-238 Mount Dandenong Road,6.29322E+19,Armada Freezer Bags Small 120pk,,0.6
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Potato Sweet Gold Premium,0.647 kg NET @ $4.90/kg,3.17
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Pumpkin Butternut Cut,0.741 kg NET @ $3.50/kg,2.59
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Pumpkin Butternut Cut,0.771 kg NET @ $3.50/kg,2.7
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Helgas Traditional Bread White 750g,,3.9
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Sanitarium So Good Soy 1l,,1.9
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,D Orsogna Roast Chicken 320G,,5.5
26/7/2021,3149 Eastland (Victoria),171 Maroondah Highway ,6.29315E+19,Cauliflower Whole,,2.5
27/10/2022,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Essentials Sugar Raw 1kg,,1.8
27/10/2022,3141 Bayswater,659 Mountain Highway ,6.29314E+19,^Dorsogna Natural Danish Salami 100g,,2
27/10/2022,3141 Bayswater,659 Mountain Highway ,6.29314E+19,Woolworths Spring Water 1.5L Bottle,,0.8
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,Pumpkin Kent Cut,0.786 kg NET @ $3.90/kg,3.07
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,^Lkk Ready Sauce Kungpao Chicken 145g,,1.3
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,Devondale Milk Skim L/life 1l,,1.6
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,Carrots Mini 500g,,1.5
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,Cauliflower Whole,,2.5
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,Berry Blueberry PP 200g,,6.5
27/11/2021,3155 Templestowe,Cnr Manningham Road and High Street,6.29316E+19,^#Sard Laundry SanitiserLiquid 1.5l,,6
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Banana Cavendish,0.687 kg NET @ $3.49/kg,2.4
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Woolworths Eggs CageFree 12pk 700g,,4.3
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Tip Top The One Omega3 S/W 700g,,3.7
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^Masterfoods Sauce Tom S/R Sgr 475ml,,2.5
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,^#Colgate MW Plax Fresh Tea 500ml,,4.2
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Heart Smart Extra Lean Beef Mince 500g,,10.5
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Pandaroo Coconut Milk 400ml,,1.4
27/7/2022,3369 Kilsyth,Cnr Mt Dandenong Road and Russo Place,6.29337E+19,Sweet Corn 500g P/P,,6.5
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Kiwifruit Gold Imported,0.662 kg NET @ $7.90/kg,5.23
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Smiths Crinkle Cut Chips Original 170g,,1.75
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Dolmio Extra P/Sce TmOnRstGaSltR 500g,,1.75
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Dolmio Pasta Sauce Carbonara 490g,,1.75
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,#Ital Sponge Finger 300g,,3.5
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Cadbury Bournville Cocoa 250g,,4.9
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Lean Beef Mince 1kg,,15
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Berry Blueberry PP 200g,,6.9
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Sea Friend Roasted Seaweed 8pk 5g,,3
28/8/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Mascarpone 250g,,5
29/10/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^#Cadbury Picnic Sharepack 180G,,2.5
29/10/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^SunRice White MediumGrain Rice 10kg,,19
29/10/2022,3969 Glen Waverly,235 Springvale Road,6.29397E+19,^Libra Pads U/Thin Regular Wings 14p,Qty 2 @ $2.50 each,5
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Mandarin Amorette Seedless Loose,0.807 kg NET @ $3.90/kg,3.15
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Apple Pink Lady,0.817 kg NET @ $3.00/kg,2.45
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Avalanche Bubble Tea97pct SF MilkyPk5,,4
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Morning Fresh 900Ml Raspberry&Crispapple,,4.5
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Avocado Shepard,,1.4
29/4/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,^Keoghs Flame GrilledIrish Steak 50g,,1.5
29/7/2021,3202 Box Hill,Cnr Main and Station Streets,6.2932E+19,^Mc Cormicks Baharat Street Food 25g,,0.8
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^Greens Buttermilk Crepe Shake 300g,,2.2
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Pauls Farmhouse GoldMilk 1.5l,,3.45
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Devondale Milk Semi Skim L/life 1l,,1.45
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,^#Colgate MW Plax Fresh Tea 500ml,Qty 2 @ $3.15 each,6.3
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Steeves Syrup Maple Original 250ml,,5
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Ardmona Tomatoes Diced NAS 400g,,1.4
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Bulla Cream Light Thickened 300ml,,2.5
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Leggos Paste Tomato No Salt 2x140g,,2.9
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Berry Strawberry 250g P/P,,3.5
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Berry Blueberry PP 200g,,5
30/10/2021,3165 Chirnside Park,Cnr Maroondah Highway and Edwards Rd,6.29317E+19,Lean Beef Mince 500g,,9
30/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Woolworths Spring Water 1.5L Bottle,,0.8
30/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Beef Porterhouse Steak Medium,,16.88
30/9/2022,3191 Lilydale,33 Hutchinson Street ,6.29319E+19,Woolworths White SandwichHiFibre700g,,3
